"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",27672," hard_1",1e-07,2,0,0.818181818182,0.5,0.61,0.01
"2",27672," moderate_6",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"3",27672," hard_3",1e-07,1,0,0.828282828283,0.5,0.61,0.01
"4",27672," hard_2",1e-07,1,0,0.818181818182,0.5,0.61,0.01
"5",27672," easy_6",1e-07,1,0,0.343434343434,0.5,0.61,0.01
"6",27672," easy_1",1e-07,1,0,0.969696969697,0.5,0.61,0.01
"7",27672," easy_2",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"8",27672," hard_5",1e-07,1,0,0.919191919192,0.5,0.61,0.01
"9",27672," moderate_2",1e-07,1,0,0.0606060606061,0.5,0.61,0.01
"10",27672," easy_5",1e-07,1,0,0.0707070707071,0.5,0.61,0.01
"11",27672," moderate_1",1e-07,1,0,0.878787878788,0.5,0.61,0.01
"12",27672," moderate_5",1e-07,1,0,0.585858585859,0.5,0.61,0.01
"13",27672," moderate_4",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"14",27672," easy_4",1e-07,1,0,0.313131313131,0.5,0.61,0.01
"15",27672," moderate_3",1e-07,0,0,0,0.5,0.61,0.01
"16",27672," hard_4",1e-07,1,0,0.929292929293,0.5,0.61,0.01
"17",27672," easy_3",1e-07,1,0,0.808080808081,0.5,0.61,0.01
"18",27672," hard_6",1e-07,1,0,0.383838383838,0.5,0.61,0.01
"19",4123168," hard_1",1e-07,2,0,0.818181818182,0.5,0.61,0.01
"20",4123168," moderate_6",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"21",4123168," hard_3",1e-07,2,0,0.626262626263,0.5,0.61,0.01
"22",4123168," hard_2",1e-07,1,0,0.818181818182,0.5,0.61,0.01
"23",4123168," easy_6",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"24",4123168," easy_1",1e-07,0,0,0,0.5,0.61,0.01
"25",4123168," easy_2",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"26",4123168," hard_5",1e-07,3,0,0.727272727273,0.5,0.61,0.01
"27",4123168," moderate_2",1e-07,1,0,0.232323232323,0.5,0.61,0.01
"28",4123168," easy_5",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"29",4123168," moderate_1",1e-07,1,0,0.606060606061,0.5,0.61,0.01
"30",4123168," moderate_5",1e-07,0,0,0,0.5,0.61,0.01
"31",4123168," moderate_4",1e-07,1,0,0.979797979798,0.5,0.61,0.01
"32",4123168," easy_4",1e-07,1,0,0.111111111111,0.5,0.61,0.01
"33",4123168," moderate_3",1e-07,0,0,0,0.5,0.61,0.01
"34",4123168," hard_4",1e-07,1,0,0.535353535354,0.5,0.61,0.01
"35",4123168," easy_3",1e-07,1,0,0.969696969697,0.5,0.61,0.01
"36",4123168," hard_6",1e-07,3,0,0.454545454545,0.5,0.61,0.01
"37",9384700," hard_1",1e-07,2,0,0.818181818182,0.5,0.61,0.01
"38",9384700," moderate_6",1e-07,1,0,0.10101010101,0.5,0.61,0.01
"39",9384700," hard_3",1e-07,1,0,0.151515151515,0.5,0.61,0.01
"40",9384700," hard_2",1e-07,1,0,0.909090909091,0.5,0.61,0.01
"41",9384700," easy_6",1e-07,1,0,0.454545454545,0.5,0.61,0.01
"42",9384700," easy_1",1e-07,1,0,0.717171717172,0.5,0.61,0.01
"43",9384700," easy_2",1e-07,1,0,0.525252525253,0.5,0.61,0.01
"44",9384700," hard_5",1e-07,2,0,0.343434343434,0.5,0.61,0.01
"45",9384700," moderate_2",1e-07,1,0,0.525252525253,0.5,0.61,0.01
"46",9384700," easy_5",1e-07,1,0,0.89898989899,0.5,0.61,0.01
"47",9384700," moderate_1",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"48",9384700," moderate_5",1e-07,0,0,0,0.5,0.61,0.01
"49",9384700," moderate_4",1e-07,0,0,0.494949494949,0.5,0.61,0.01
"50",9384700," easy_4",1e-07,1,0,0.313131313131,0.5,0.61,0.01
"51",9384700," moderate_3",1e-07,1,0,0.717171717172,0.5,0.61,0.01
"52",9384700," hard_4",1e-07,1,0,0.929292929293,0.5,0.61,0.01
"53",9384700," easy_3",1e-07,1,0,0.525252525253,0.5,0.61,0.01
"54",9384700," hard_6",1e-07,1,0,0.40404040404,0.5,0.61,0.01
"55",7693386," hard_1",1e-07,1,0,0.868686868687,0.5,0.61,0.01
"56",7693386," moderate_6",1e-07,1,0,0.040404040404,0.5,0.61,0.01
"57",7693386," hard_3",1e-07,1,0,0.626262626263,0.5,0.61,0.01
